split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.04904257663722549,0.6499180429485323,0.19480332903869557,0.08968640974554111,1.0423060364843675,-4.05888817712915
test,known_user__new_ad,261758,7868,0.03005829812269348,0.04208446974471382,0.6331935470454911,0.1336049349378898,0.050810271344205744,0.7142373019080054,40.00948946920182
test,new_user__known_ad,358678,21631,0.06030757392424403,0.07130791923863071,0.6131673582565873,0.22421582126050837,0.09036941348616784,0.8457345911668771,18.240404311745117
test,new_user__new_ad,28331,1024,0.03614415304789806,0.06116031908898039,0.5969946644003826,0.1596268307110036,0.05582500404240375,0.5909739122732988,69.21220704198277
