split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
test,1,330867,5644,0.017058213723338985,0.016393043475826468,1.0405763730507633,0.0006651702475125171,1.0000000116860974e-7,0.020925207063555717
test,2,330866,8241,0.02490736431062726,0.024557991898891702,1.0142264242603374,0.0003493724117355594,0.020925207063555717,0.02717398852109909
test,3,330867,10191,0.030800895828233095,0.03137806833872539,0.9816058622773801,0.0005771725104922951,0.02717398852109909,0.03465927392244339
test,4,330866,12417,0.03752878808943802,0.03711468252297057,1.0111574594828112,0.0004141055664674473,0.03465927392244339,0.040399011224508286
test,5,330867,14293,0.04319862663849825,0.04337470679352245,0.9959404877164382,0.00017608015502419694,0.040399011224508286,0.04661061242222786
test,6,330866,16316,0.04931301493656042,0.04920665886711301,1.0021614161964265,0.00010635606944741499,0.04661061242222786,0.0526266023516655
test,7,330867,18514,0.055956018581484405,0.05643465220680265,0.9915187990604724,0.0004786336253182477,0.0526266023516655,0.06052624434232712
test,8,330866,20953,0.06332775202045542,0.06543612037077569,0.9677797470514177,0.002108368350320272,0.06052624434232712,0.06984622031450272
test,9,330867,25076,0.07578876104295684,0.07766339391200276,0.9758620789715938,0.0018746328690459196,0.06984622031450272,0.08385809510946274
test,10,330866,34845,0.10531453821184407,0.10853627244639046,0.9703165203491054,0.003221734234546386,0.08385809510946274,0.3684210479259491
