run_name,alpha,eta0,epochs_requested,best_epoch,val_rows,val_auc,val_logloss,val_pr_auc,val_brier_score,val_mean_prediction,orchestration_seconds,selected
lr_tune_f123_a1em07_e0p001,1e-07,0.001,3,1,3234051,0.6540784784036051,0.18940663862102045,0.08849449822624628,0.04617678374052048,0.04725272208452225,0.00012099999003112316,False
lr_tune_f123_a1em06_e0p001,1e-06,0.001,3,1,3234051,0.6540784784036051,0.18940663862102045,0.08849449822624628,0.04617678374052048,0.04725272208452225,90.09307204198558,False
lr_tune_f123_a1em05_e0p001,1e-05,0.001,3,1,3234051,0.6540784784036051,0.18940663862102045,0.08849449822624628,0.04617678374052048,0.04725272208452225,91.45830670802388,False
lr_tune_f123_a1em07_e0p003,1e-07,0.003,3,2,3234051,0.6548960520124334,0.1894183172009303,0.0888113640415677,0.04617311432957649,0.045670680701732635,89.95507749996614,False
lr_tune_f123_a1em06_e0p003,1e-06,0.003,3,2,3234051,0.6548960520124334,0.1894183172009303,0.0888113640415677,0.04617311432957649,0.045670680701732635,90.7955966249574,False
lr_tune_f123_a1em05_e0p003,1e-05,0.003,3,1,3234051,0.6544165619559761,0.18942503537035063,0.08862842834757502,0.0461759977042675,0.04626643657684326,91.04491533408873,False
lr_tune_f123_a1em07_e0p005,1e-07,0.005,3,2,3234051,0.6551629452993427,0.1894689716959246,0.08886002402349226,0.046176936477422714,0.044848211109638214,92.1693377919728,True
lr_tune_f123_a1em06_e0p005,1e-06,0.005,3,2,3234051,0.6551629452993427,0.1894689716959246,0.08886002402349226,0.046176936477422714,0.044848211109638214,92.25060812500305,False
lr_tune_f123_a1em05_e0p005,1e-05,0.005,3,2,3234051,0.6548465450204921,0.18949409182818588,0.0887724454510595,0.04618037864565849,0.044921427965164185,92.68181404203642,False
lr_tune_f123_a1em07_e0p01,1e-07,0.01,3,3,3234051,0.655753684892536,0.18974976589777492,0.0888740472140353,0.04620269685983658,0.04240966960787773,92.99615170899779,False
lr_tune_f123_a1em06_e0p01,1e-06,0.01,3,3,3234051,0.655753684892536,0.18974976589777492,0.0888740472140353,0.04620269685983658,0.04240966960787773,93.07749995903578,False
lr_tune_f123_a1em05_e0p01,1e-05,0.01,3,2,3234051,0.6548539230776922,0.1898275658636791,0.08874119646247729,0.04621126130223274,0.042447369545698166,92.99523016705643,False
