split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,8665,0.026792947564361822,0.02922492279082959,0.9167842035418177,0.0024319752264677676,0.008804473094642162,0.03358862176537514
val,2,323405,10296,0.03183624248233639,0.035983076572198895,0.8847559885119324,0.004146834089862508,0.03358863294124603,0.03809202089905739
val,3,323405,11762,0.03636925836026036,0.03988169638766259,0.9119285701074439,0.003512438027402233,0.038092028349637985,0.04158668592572212
val,4,323405,12791,0.039551027349608074,0.04317536515634527,0.9160554220302977,0.003624337806737196,0.04158669710159302,0.04473838210105896
val,5,323405,14069,0.04350272877661137,0.046294986476859916,0.9396855272515474,0.002792257700248546,0.04473838210105896,0.04786626994609833
val,6,323405,15662,0.048428441118721105,0.0495055279714555,0.9782430993695203,0.001077086852734395,0.04786626994609833,0.05120648071169853
val,7,323405,17224,0.0532582984183918,0.053079112909174546,1.003375819590728,0.000179185509217257,0.05120648071169853,0.05506964400410652
val,8,323405,19205,0.059383744840061224,0.057419614461063924,1.0342066103618506,0.0019641303789973003,0.05506967753171921,0.06004764512181282
val,9,323405,21786,0.06736445014764769,0.06361991675051304,1.0588578795508163,0.003744533397134653,0.06004764512181282,0.06805647909641266
val,10,323405,27977,0.08650762975216833,0.08006119271078121,1.080518873415672,0.006446437041387115,0.06805647909641266,0.23302072286605835
test,1,330867,9246,0.027944763303683957,0.029544855806071354,0.9458419254813698,0.0016000925023873964,0.008500083349645138,0.03395281732082367
test,2,330866,11009,0.03327328888432175,0.03636284699651821,0.9150353075354004,0.0030895581121964596,0.03395288065075874,0.0384766086935997
test,3,330867,12589,0.03804852100693028,0.04027683396355776,0.9446750715648691,0.0022283129566274817,0.0384766161441803,0.04198922961950302
test,4,330866,13606,0.04112238791534942,0.04359746392479362,0.9432288994214492,0.002475076009444202,0.04198922961950302,0.0451815128326416
test,5,330867,15109,0.04566487440572798,0.04675577165670068,0.9766681799418797,0.0010908972509727013,0.0451815128326416,0.04834403470158577
test,6,330866,16468,0.049772415418930925,0.050002736854789884,0.99539382341155,0.00023032143585895865,0.04834403470158577,0.05172264948487282
test,7,330867,18135,0.05481054320920491,0.05361665285491865,1.0222671556450345,0.0011938903542862561,0.05172264948487282,0.05563032627105713
test,8,330866,20014,0.06048974509317972,0.058010045729515076,1.0427460335960912,0.002479699363664642,0.055630337446928024,0.0606699101626873
test,9,330867,22379,0.06763744948876739,0.06426540658312256,1.0524705760833137,0.0033720429056448287,0.0606699101626873,0.06871514767408371
test,10,330866,27935,0.08442995049355329,0.08007221642481502,1.0544225483358516,0.004357734068738267,0.0687151625752449,0.222069650888443
