split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.05065702672308754,0.6052275408394144,0.19422966891347035,0.07294860543914641,0.9794125857112244,2.1020165136866886
val,known_user__new_ad,199507,6152,0.03083601076653952,0.04741555946974706,0.6039729665402168,0.1392605109103563,0.04599591210114025,0.6503352720368949,53.76684042800433
val,new_user__known_ad,304114,18105,0.059533595954148776,0.04442998242219311,0.6019757131703404,0.22436258852865368,0.0882488458730053,1.3399419200402678,-25.36989961699623
val,new_user__new_ad,17473,579,0.033136839695530246,0.04196393339215288,0.5899905598517057,0.14495210773166678,0.04815547661618554,0.7896504692700405,26.6383088361118
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.051278540465974236,0.5977274421200608,0.19894154952921408,0.07229577562906246,0.9968570323807512,0.31528770095974323
test,known_user__new_ad,261758,7868,0.03005829812269348,0.047874858641816107,0.6026082711724429,0.13720341384574739,0.04317312630046043,0.6278514229687809,59.2733508943124
test,new_user__known_ad,358678,21631,0.06030757392424403,0.04501248953573592,0.5991433046436035,0.22679223834078796,0.08665737070430805,1.3397964553008155,-25.361796857756524
test,new_user__new_ad,28331,1024,0.03614415304789806,0.041992644341779885,0.5949564428878127,0.1539158969084133,0.05147026938784649,0.8607258155432959,16.18101629364903
