split,gauc,total_users,eligible_users,eligible_user_rate,total_rows,eligible_rows,eligible_row_coverage,weighting
val,0.5761748319378385,385925,101129,0.2620431430977522,3234051,1628795,0.5036392437843435,impression_count
test,0.5698892733125466,391741,104884,0.26773812289242127,3308665,1682247,0.5084367864380347,impression_count
