split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.049834525415920206,0.6554821838835865,0.19006998620431967,0.08897434824999297,0.9955774458213654,0.4442200049023626
val,known_user__new_ad,199507,6152,0.03083601076653952,0.03424778747523329,0.6404542312177763,0.1340565258327113,0.05346335687837497,0.900379646096524,11.06426098539286
val,new_user__known_ad,304114,18105,0.059533595954148776,0.057945750878270655,0.6121841950792739,0.2211479279875675,0.09083163393796592,1.0274022693952793,-2.6671412173742026
val,new_user__new_ad,17473,579,0.033136839695530246,0.037031130534352356,0.5975055169764208,0.14404523230952193,0.05042201227932329,0.8948373764822134,11.752149192873706
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.04849577744436552,0.652347837394199,0.1947068630114665,0.08974836426398256,1.054058236974741,-5.128581617074024
test,known_user__new_ad,261758,7868,0.03005829812269348,0.03776334940805828,0.6402632326210068,0.13213476185857317,0.05196026817455304,0.7959648334657352,25.63369108228928
test,new_user__known_ad,358678,21631,0.06030757392424403,0.05741379448914144,0.6138640311164201,0.22324322007663364,0.09148843217866467,1.0504021631186542,-4.798368176338252
test,new_user__new_ad,28331,1024,0.03614415304789806,0.04361208258567847,0.5967532506545941,0.15407905046116613,0.05383927697830478,0.8287646657756087,20.661514817857096
