split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.04980184632426885,0.6535837338588282,0.19034700643100932,0.08930495126862092,0.9962307261512989,0.3783535028339058
val,known_user__new_ad,199507,6152,0.03083601076653952,0.03872341275478895,0.6336247842364916,0.13528734041580182,0.05364307303847163,0.7963143889668146,25.578542075254873
val,new_user__known_ad,304114,18105,0.059533595954148776,0.07507055418087545,0.6123829006916234,0.22300781575743078,0.09140022987602378,0.7930352533525751,26.097799028791812
val,new_user__new_ad,17473,579,0.033136839695530246,0.056817175923766554,0.5895473308834339,0.1501140160166126,0.049255683279231494,0.5832187037946239,71.46226509775009
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.05119412177526038,0.6499609458555429,0.1949409676547081,0.0906142997148045,0.9985008415249321,0.15014093255829586
test,known_user__new_ad,261758,7868,0.03005829812269348,0.043143156344419176,0.6332223793002038,0.1341733622861624,0.05138514275728155,0.6967106876171266,43.531600386406645
test,new_user__known_ad,358678,21631,0.06030757392424403,0.07736929552436667,0.6132285122915251,0.2254780027840537,0.09143219244794185,0.7794768391713064,28.291175535522093
test,new_user__new_ad,28331,1024,0.03614415304789806,0.06606874049270287,0.5973027391671549,0.16189106307581994,0.057047671391279975,0.5470688979138341,82.79233270495752
