split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.04957962498063621,0.6534528380796714,0.19031377743309463,0.08946618338216411,1.0006959420665047,-0.06954580679796596
val,known_user__new_ad,199507,6152,0.03083601076653952,0.03829809016746222,0.6333903228492274,0.13516513155708962,0.053844969690108296,0.8051579238470113,24.19923724057029
val,new_user__known_ad,304114,18105,0.059533595954148776,0.07657302631267013,0.6126751850881447,0.2233138441383446,0.09176467182311843,0.7774747691315691,28.621537277279007
val,new_user__new_ad,17473,579,0.033136839695530246,0.05787623365114546,0.5911501830063837,0.15050100389277582,0.05097014850131114,0.5725465809552452,74.65827816691963
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.050797886199357184,0.6495903208010552,0.19492516645294625,0.09066234194388033,1.0062893852141075,-0.6250076078035294
test,known_user__new_ad,261758,7868,0.03005829812269348,0.04311546504489184,0.6332661594436526,0.13413268635199943,0.05147588697529241,0.6971581563923007,43.439475079064536
test,new_user__known_ad,358678,21631,0.06030757392424403,0.07909512553829577,0.6137409592614813,0.22587349419320935,0.0914250195222731,0.7624689070762609,31.152889084299606
test,new_user__new_ad,28331,1024,0.03614415304789806,0.06796347802887341,0.5992446526703318,0.1627538905759605,0.05703509677210501,0.5318172950557751,88.03450156601687
