split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.04977781170916659,0.6533924531106073,0.19035329735690454,0.08934534837063504,0.9967117441236435,0.3299104175046752
val,known_user__new_ad,199507,6152,0.03083601076653952,0.03909050122890174,0.6322943887381259,0.13547478573305993,0.05327999715684614,0.788836412865967,26.76899591473503
val,new_user__known_ad,304114,18105,0.059533595954148776,0.07481445942569044,0.6128442029307195,0.22288841357656924,0.09166390562485888,0.795749864546981,25.66763056495125
val,new_user__new_ad,17473,579,0.033136839695530246,0.05787906415253308,0.5880615349636145,0.1506015562520304,0.051170495514822376,0.5725185812991417,74.66682002369784
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.05123023369475035,0.6496844980575021,0.19495382947971276,0.09055800954593751,0.9977970035878526,0.22078603205120118
test,known_user__new_ad,261758,7868,0.03005829812269348,0.043513682364801284,0.6325991927579411,0.13435205976101153,0.051337861499027325,0.690778083792053,44.76429166809424
test,new_user__known_ad,358678,21631,0.06030757392424403,0.07705516512521575,0.6134605854716362,0.22537787329254347,0.09138202114653311,0.7826545284309411,27.770295024650427
test,new_user__new_ad,28331,1024,0.03614415304789806,0.06659273551608368,0.5978133540049254,0.16212650967829484,0.05597640406013725,0.5427642034493149,84.2420693267741
