model,split,rows,clicks,positive_rate,mean_prediction,auc,log_loss,pr_auc,brier_score
wide_deep_f1_f2_f3,val,3234051,159437,0.049299469921779214,0.05153246596455574,0.6505523860174799,0.18980429066625748,0.08765822004139687,0.046199262142181396
wide_deep_f1_f2_f3,test,3308665,166490,0.05031938863559774,0.05352208763360977,0.6462194386788178,0.19316085966355126,0.08797571023258449,0.04714720696210861
