split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.04518071626225086,0.6565133144972194,0.1902483664400307,0.08985128347515065,1.0981262279977415,-8.935787662285332
val,known_user__new_ad,199507,6152,0.03083601076653952,0.028125817860840566,0.6376703422446144,0.13404614529918096,0.05441035275872647,1.0963596123358368,-8.789051626093647
val,new_user__known_ad,304114,18105,0.059533595954148776,0.05341472824052614,0.6111451836795162,0.2214887442090074,0.0920234429758946,1.1145539426142808,-10.278007930740863
val,new_user__new_ad,17473,579,0.033136839695530246,0.03505923825457964,0.5908531465014099,0.14397685602629706,0.04744535539982158,0.9451671326943825,5.801393786229725
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.04781499209931565,0.6539212512567668,0.1946052064150281,0.09160013561861165,1.0690658186777984,-6.460389760025976
test,known_user__new_ad,261758,7868,0.03005829812269348,0.03605183081712022,0.6316601324469046,0.132331213892363,0.05140381834202775,0.8337523349415991,19.93969409033749
test,new_user__known_ad,358678,21631,0.06030757392424403,0.05705094280621694,0.6148551059128909,0.22317161353664627,0.09194780733157672,1.0570828624005177,-5.400036688787946
test,new_user__new_ad,28331,1024,0.03614415304789806,0.04508969277016063,0.5986330628364522,0.15411250795346473,0.05610929587820429,0.8016056625654692,24.74961776088096
