split,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,3234051,0.049299469921779214,0.049824536,0.19340597,0.9894616996223226,1.0650538956384015
test,3308665,0.05031938863559774,0.050250478,0.19669092,1.001371341116798,-0.13694631157192827
