epoch,train_rows,train_minutes,val_rows,val_auc,val_log_loss,val_pr_auc,val_brier_score
1,20015245,0.1518075430513515,3234051,0.5848757694949909,0.19442048446288102,0.06783836776405969,0.04666387662291527
2,20015245,0.15737366596780097,3234051,0.5950485291122236,0.19390962900636938,0.07034481381669277,0.04661206156015396
3,20015245,0.15856445138342679,3234051,0.6012073992898906,0.19355675838700043,0.07185810858780012,0.04657714068889618
