iteration,val_log_loss,val_auc
1,0.19616410390407663,0.6381730944609176
2,0.19583538333365463,0.6400374046775958
3,0.1955240459667435,0.6411024141258067
4,0.19523353605228103,0.6413865389179715
5,0.1950386880716358,0.643683048638313
6,0.19491498065519597,0.6445717867775688
7,0.1947446482448078,0.6450020752547554
8,0.19449591735262417,0.6454859182304669
9,0.19426524207957413,0.6456466911460914
10,0.19404414389693678,0.6456980158213333
11,0.19383611689843208,0.6459022066286103
12,0.1936387121558877,0.6460328250829673
13,0.193452925419646,0.646136201223014
14,0.1932784281742865,0.6461497806881078
15,0.19311037745397447,0.6462126391517707
16,0.1929533638340081,0.6461976440557882
17,0.19280124067819296,0.6463825270440938
18,0.19265965328144147,0.6465820109848704
19,0.19252658045036222,0.6466175027980322
20,0.19240381823560923,0.6465998704337378
21,0.19228434155894178,0.6466656108346854
22,0.1921687417919392,0.6467051395578917
23,0.1920813761004946,0.6471052308561628
24,0.1919773549643677,0.6471611564161965
25,0.1918749008031228,0.6472854731346828
26,0.19177776693415463,0.6473203912333388
27,0.19168763180174034,0.6473468078590968
28,0.1916188139336669,0.6476452029527562
29,0.1915344950057187,0.6477155447148247
30,0.19145120773049315,0.647785193729056
31,0.1913910589368038,0.6479869033509896
32,0.19131754639930842,0.6480591299271513
33,0.19124728540425565,0.6480903825290918
34,0.1911796330591028,0.6481384632069075
35,0.19111606761024502,0.6481395322711021
36,0.1910560973356194,0.6481766256701815
37,0.19099735749977448,0.6482177618074528
38,0.19094030346830126,0.6482855132568611
39,0.19088546530390288,0.6483241034086435
40,0.1908347051990555,0.6483511323570689
41,0.19078628984556545,0.6483733623585489
42,0.19074037161038465,0.6484301623477461
43,0.19069257842785906,0.6485165740522403
44,0.19064707952002913,0.6485903381567171
45,0.19060519436565937,0.6486442182552932
46,0.19056419609287484,0.6486950526582907
47,0.1905237449181085,0.6487716706088714
48,0.19048495128528858,0.6488860143217027
49,0.19044724151572007,0.6489580617991195
50,0.1904124042827288,0.6490255008408564
51,0.19038044884218014,0.6490709215997357
52,0.19034705827583775,0.6491432733943682
53,0.19031835786484894,0.6492975462049556
54,0.1902904766546165,0.6493561672107374
55,0.19026394130886665,0.6493958071205937
56,0.19023859849096514,0.6495354384815517
57,0.19021171586845226,0.6495761278434888
58,0.19018798144478902,0.649603715908512
59,0.19016220962777156,0.6496685461454094
60,0.1901387986680636,0.6497283439738939
61,0.19011807307870546,0.6497706553773832
62,0.19009457190062665,0.6498650606869115
63,0.19007166697474157,0.6499412255117825
64,0.1900521337749476,0.6499763679696335
65,0.19003055866430096,0.6500424979945757
66,0.19000983217886577,0.6501149802982985
67,0.1899912452658554,0.6501582626768543
68,0.1899706676442924,0.6502978771225172
69,0.18995536224419754,0.6503138502569056
70,0.18993776350136127,0.6503674509124401
71,0.18992464471742418,0.650381189686689
72,0.18990951463224484,0.6504089714657044
73,0.18989121297479133,0.6504878924178027
74,0.18987595934255494,0.650541321159309
75,0.1898618754181561,0.6505854796663094
76,0.1898500387821219,0.6506176784038217
77,0.18983561773768284,0.6506901799626663
78,0.18982115291667687,0.6507655582273346
