split,hour,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,0,92151,0.05227289991427114,0.05879761,0.20265993,0.8890310464841831,12.482011056268693
val,1,46304,0.051723393227366965,0.057700053,0.20123203,0.8964184721840229,11.555041649645204
val,2,25558,0.051334220205023866,0.056670018,0.19959576,0.9058444382583445,10.394230815468397
val,3,17505,0.051813767495001425,0.05835536,0.2009464,0.8879007242677068,12.625203772048588
val,4,16362,0.05054394328321721,0.05956355,0.19797295,0.8485716910995668,17.845081386607966
val,5,35642,0.04834184389203748,0.057256684,0.19142029,0.8443004512663921,18.441249024570517
val,6,82208,0.04852325807707279,0.056174405,0.19172686,0.8637965661926087,15.767998987046305
val,7,107089,0.047044981277255364,0.055553384,0.18766572,0.8468427624715528,18.08567591478849
val,8,126752,0.05112345367331482,0.058366273,0.19942658,0.8759074615743799,14.167311487742417
val,9,152934,0.04967502321262767,0.06073049,0.1956826,0.8179585333634249,22.25558622000372
val,10,179546,0.048494536219130475,0.060566656,0.19261141,0.800680426962061,24.893773636280404
val,11,170883,0.046868325111333486,0.058476422,0.1872382,0.8014909859861176,24.76746681931128
val,12,188728,0.042230087745326605,0.058266297,0.17416061,0.7247772714613733,37.97342154282699
val,13,193125,0.04311715210355987,0.058392946,0.17681947,0.7383965923218011,35.428577325312105
val,14,181290,0.04997517789177561,0.06096246,0.19687797,0.819769693106151,21.985480606259888
val,15,181123,0.04968998967552437,0.059991155,0.19555517,0.8282886006252503,20.7308659379267
val,16,171027,0.050722985259637365,0.059363615,0.19859415,0.8544456980601389,17.034938822948618
val,17,157082,0.050610509160820466,0.05810549,0.19791438,0.8710107805853025,14.809141550236514
val,18,142538,0.05041462627509857,0.059439465,0.19728279,0.8481675589242731,17.901231835404708
val,19,153422,0.051720092294455816,0.059987593,0.20072585,0.8621798163029897,15.985085836035996
val,20,182957,0.050667643216712126,0.060225323,0.19833052,0.8413013135543443,18.86347779194384
val,21,220350,0.05162695711368278,0.060442626,0.20115422,0.8541481421879719,17.07570977540458
val,22,230490,0.05080046856696603,0.059225954,0.19831708,0.8577399777805309,16.58544849309438
val,23,178985,0.05127804005922284,0.05923401,0.19982667,0.8656858048864696,15.515351453769654
test,0,105822,0.05281510460962749,0.04992266,0.20395333,1.0579385116268127,-5.4765481159882885
test,1,52139,0.052743627610809564,0.048970662,0.20396462,1.0770454266880736,-7.153405490517606
test,2,28347,0.05048153243729495,0.04806098,0.19649248,1.0503641989524957,-4.794927226453705
test,3,18823,0.04972639855495936,0.04918835,0.19487955,1.010938548773764,-1.0820191580420135
test,4,16998,0.04988822214378162,0.049980905,0.19582953,0.9981456365510188,0.1857808501160907
test,5,36329,0.048583776046684464,0.04794694,0.19207345,1.0132820764883617,-1.3107975357061652
test,6,83646,0.04805968008033857,0.04745065,0.19039829,1.0128350104954238,-1.2672360613942169
test,7,118056,0.04757064443992681,0.047105238,0.1881981,1.0098801453860742,-0.9783483150168304
test,8,133690,0.049420300695639165,0.049400922,0.1937193,1.0003922757691217,-0.03921219491824779
test,9,149624,0.049938512538095496,0.051486183,0.19538647,0.9699400823506755,3.099152019418905
test,10,172074,0.04978671966711996,0.05140439,0.19491743,0.9685304931788813,3.2492014492832677
test,11,176967,0.04807676007391209,0.050709467,0.1902428,0.9480825288987185,5.476049765581936
test,12,175494,0.04981936704388754,0.05145891,0.1951799,0.968138791507702,3.290975299386556
test,13,188439,0.0522609438598167,0.05147242,0.20236,1.0153193127058047,-1.5088172276541356
test,14,180876,0.050227780357814195,0.05155288,0.19664419,0.9742962918211068,2.6381818749252384
test,15,185003,0.05157213666805403,0.05100518,0.2006087,1.011115650070047,-1.099345071879454
test,16,181342,0.05069978273097241,0.05012494,0.19753084,1.0114682073487193,-1.1338178763700468
test,17,167899,0.050041989529419476,0.049416434,0.1964051,1.0126588557435119,-1.2500612295754387
test,18,152309,0.04955715026689165,0.05063941,0.19470733,0.9786281215728222,2.1838610557020965
test,19,155474,0.05009840873715219,0.050713874,0.19612344,0.9878639589304593,1.2285133959822003
test,20,184791,0.051041446823708946,0.05108096,0.19864982,0.9992264445290467,0.07741543222645753
test,21,226556,0.05092780592877699,0.05122246,0.19834702,0.9942475905736465,0.5785691090319345
test,22,238936,0.05045702614926173,0.05014737,0.19726382,1.0061749329695602,-0.613703717636449
test,23,179031,0.0514156766146645,0.05004428,0.19972089,1.0274036729386984,-2.667274184480495
