split,pid_raw,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,430539_1007,1221565,0.05128257603975229,0.061407324,0.20030996,0.835121493015676,19.74305635326634
val,430548_1007,2012486,0.048095738305757155,0.057848647,0.1907135,0.8314064477404307,20.27811459939568
test,430539_1007,1228468,0.052593148539481695,0.052313365,0.20356527,1.0053482221425887,-0.5319770826461068
test,430548_1007,2080197,0.04897661134979043,0.049307197,0.19263504,0.9932953807866369,0.6749874551972068
