split,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,3234051,0.049299469921779214,0.05919283,0.19433828,0.832862204642846,20.06788090820224
test,3308665,0.05031938863559774,0.05042335,0.1966933,0.9979382260564524,0.2066033637868614
