split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.0510975102904316,0.6013379582174945,0.19448292258296404,0.07177772140371588,0.9709696078204496,2.989835309543354
val,known_user__new_ad,199507,6152,0.03083601076653952,0.04689912981118273,0.5931719598887605,0.13944570452836616,0.043701219179641024,0.6574964373685867,52.092078856300915
val,new_user__known_ad,304114,18105,0.059533595954148776,0.05040878656383047,0.5899933021904806,0.22348284082724268,0.08505574808102319,1.181016247609213,-15.327159806281475
val,new_user__new_ad,17473,579,0.033136839695530246,0.04707652193149339,0.579694572252098,0.1467387954509979,0.04556386299139838,0.7038931156331297,42.06702378393508
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.05163752861165769,0.594100921597494,0.19914993642464482,0.07129001529677517,0.9899268041690724,1.0175697625828928
test,known_user__new_ad,261758,7868,0.03005829812269348,0.04716428601328368,0.593529142315775,0.13722480541256457,0.0418403679447511,0.6373105725427001,56.909369322129
test,new_user__known_ad,358678,21631,0.06030757392424403,0.05109413061242424,0.5858850015524726,0.2259253144998162,0.08375074793612952,1.180322929490837,-15.277423236082011
test,new_user__new_ad,28331,1024,0.03614415304789806,0.04727018007276256,0.5787612300932453,0.15563960849991867,0.04863903897938059,0.7646290535018417,30.782370277484006
