split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct,ece
val,overall,3234051,159437,0.049299469921779214,0.05075202546311725,0.6012073992898906,0.19355675838244435,0.07185810858780012,0.9713793582013067,2.9463918042987647,0.003729305138468778
test,overall,3308665,166490,0.05031938863559774,0.05118733395759338,0.5954950298685483,0.19678089921880826,0.07110858612055374,0.9830437482304764,1.7248725501836093,0.002832587006764916
