variant,run_name,split,auc,log_loss,pr_auc,actual_ctr,mean_prediction,copc,prediction_bias_pct
with_weekday,logistic_regression,val,0.6026370559142656,0.19433825733718538,0.0725001081422028,0.049299469921779214,0.05919283,0.832862204642846,20.06788090820224
with_weekday,logistic_regression,test,0.5964488189696024,0.196693291170192,0.07141167571815629,0.05031938863559774,0.05042335,0.9979382260564524,0.2066033637868614
without_weekday,logistic_regression_no_weekday,val,0.6026584715723953,0.19340596021714648,0.07250083413587932,0.049299469921779214,0.049824536,0.9894616996223226,1.0650538956384015
without_weekday,logistic_regression_no_weekday,test,0.5964768509991473,0.19669090060272618,0.07142242567876128,0.05031938863559774,0.050250478,1.001371341116798,-0.13694631157192827
