run,best_iteration,auc,log_loss,pr_auc,mean_prediction
lgbm_f123_lr003,251,0.654302883172135,0.18928829452235324,0.08803272308100356,0.04956655195860382
lgbm_f123_minleaf1000,151,0.6542496051780987,0.18930297001166468,0.08791453897308635,0.04949902324776751
lgbm_f123_default,133,0.6540880090779648,0.18930718861180887,0.08799718728083854,0.04950736790443441
lgbm_f123_leaves31,189,0.6540665165992632,0.1893172722367291,0.08779073197077025,0.04963987551570673
lgbm_f123_minleaf5000,140,0.6541648320469404,0.18931923575362297,0.08774045653174041,0.049655355232333415
lgbm_f123_leaves127,102,0.6535345424211857,0.18936033224848262,0.08782357733519591,0.049234583106372194
