split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,8319,0.025723084914936644,0.028241975177725535,0.9108104073126039,0.0025188902627888907,0.008680419996380806,0.03262102231383324
val,2,323405,10016,0.03097045500224177,0.035049154035993214,0.8836291732016447,0.004078699033751444,0.032621096819639206,0.03719523549079895
val,3,323405,11417,0.03530248450085806,0.03903045159377709,0.9044856787280061,0.0037279670929190323,0.037195269018411636,0.04077828302979469
val,4,323405,12622,0.03902846276340811,0.042421988371504335,0.9200055033163952,0.0033935256080962276,0.04077830910682678,0.044042475521564484
val,5,323405,13932,0.043079111330993645,0.04566522803749009,0.9433679230863952,0.002586116706496444,0.044042494148015976,0.04730655625462532
val,6,323405,15712,0.048583046025880865,0.049033225691729417,0.9908188853680804,0.00045017966584855185,0.047306597232818604,0.05082917585968971
val,7,323405,17181,0.05312533819823441,0.05281753084348878,1.0058277497987882,0.0003078073547456289,0.05082917585968971,0.054934676736593246
val,8,323405,19483,0.06024334812386945,0.057450418307195654,1.0486146123730484,0.0027929298166737976,0.054934676736593246,0.06026738882064819
val,9,323405,22091,0.06830754008132219,0.06412311030580847,1.0652561885341778,0.004184429775513712,0.06026738882064819,0.06892640888690948
val,10,323405,28664,0.08863190117654335,0.08185229246069461,1.0828273529309431,0.006779608715848734,0.06892646849155426,0.2297704815864563
test,1,330867,8889,0.02686577990552095,0.028599097062765446,0.9393925915408992,0.0017333171572444968,0.008362972177565098,0.033028941601514816
test,2,330866,10649,0.03218523511028634,0.0354721110084578,0.9073391516679752,0.0032868758981714555,0.0330289751291275,0.03763050213456154
test,3,330867,12352,0.03733222110394811,0.039469453945806,0.945850965032543,0.002137232841857885,0.037630509585142136,0.041226524859666824
test,4,330866,13507,0.040823173127489676,0.04289322837686048,0.9517393460994992,0.002070055249370803,0.041226524859666824,0.04453731328248978
test,5,330867,15084,0.045589315344231975,0.0461793258918069,0.9872234915477707,0.0005900105475749248,0.04453731328248978,0.04783995822072029
test,6,330866,16280,0.04920420955915688,0.04958937690673057,0.9922328657547336,0.0003851673475736908,0.04783996567130089,0.05140268802642822
test,7,330867,18223,0.055076511105670856,0.0534125462584092,1.0311530710258863,0.0016639648472616536,0.05140269920229912,0.0555550791323185
test,8,330866,20180,0.06099145877787382,0.05810052340886635,1.0497574754819903,0.0028909353690074677,0.0555550791323185,0.06094475835561752
test,9,330867,22651,0.06845953207784397,0.06481483156595647,1.05623250765033,0.0036447005118875053,0.060944799333810806,0.06962018460035324
test,10,330866,28675,0.08666650547351495,0.08193446933358198,1.0577539121009902,0.004732036139932977,0.06962019950151443,0.23500429093837738
