split,segment,rows,clicks,actual_ctr,mean_prediction,auc,logloss,pr_auc,copc,prediction_bias_pct
val,known_user__known_ad,2712957,134601,0.04961412952730176,0.049523068968955246,0.6537640876219084,0.190296774148532,0.08956696831821205,1.00183875030854,-0.18353755112523462
val,known_user__new_ad,199507,6152,0.03083601076653952,0.03795306494341781,0.6336894098859847,0.13509536065598757,0.0538995012559243,0.8124774853496358,23.08033367468234
val,new_user__known_ad,304114,18105,0.059533595954148776,0.07653342089949167,0.6126716755626802,0.223318320479423,0.09176033029781781,0.777877105902948,28.55501112083958
val,new_user__new_ad,17473,579,0.033136839695530246,0.057795638963825315,0.592728703796281,0.15041344145621072,0.05127604095313515,0.5733449839748431,74.41506038254226
test,known_user__known_ad,2659898,135967,0.05111737367372734,0.05070525297296948,0.6501005933503377,0.1948914478563585,0.09087952668834694,1.0081277713174521,-0.8062243248026513
test,known_user__new_ad,261758,7868,0.03005829812269348,0.042736348135286775,0.6336800442561632,0.13399549433019406,0.051625451050088714,0.7033426915079528,42.17820304011688
test,new_user__known_ad,358678,21631,0.06030757392424403,0.07883029090862854,0.6141039507701431,0.22577088953642213,0.09194459309174749,0.7650304626446955,30.71374916797682
test,new_user__new_ad,28331,1024,0.03614415304789806,0.06764345182883212,0.5992407009306222,0.1626024370845404,0.05690018877849013,0.5343333622204669,87.14908532838311
